_id,firstname,surname,city,country,license_plate,drivernumber
1831,Sara,Freye,Mission Viejo, United States,UN-MI 1831,Sara_Freye_1831
1832,Harun,Hollenbach,Palm Coast, United States,UN-PA 1832,Harun_Hollenbach_1832
1833,Maryam,Schorsch,Laval, Canada,CA-LA 1833,Maryam_Schorsch_1833
1834,Max,Hasse,Paris, France,FR-PA 1834,Max_Hasse_1834
1835,Jakob,Krauss,Los Angeles, United States,UN-LO 1835,Jakob_Krauss_1835
1836,Maximilian,Schwind,New York, United States,UN-NE 1836,Maximilian_Schwind_1836
1837,Valentina,Fitz,Montgomery, United States,UN-MO 1837,Valentina_Fitz_1837
1838,Kuzey,Griese,Nagoya, Japan,JA-NA 1838,Kuzey_Griese_1838
1839,Alissa,Auth,Mexico City, Mexico,ME-ME 1839,Alissa_Auth_1839
1840,Ben,Helmig,San Antonio, United States,UN-SA 1840,Ben_Helmig_1840
1841,Theresa,Imhoff,Rome, Italy,IT-RO 1841,Theresa_Imhoff_1841
1842,Elif,Peterson,Nezahualcóyotl, Mexico,ME-NE 1842,Elif_Peterson_1842
1843,Laia,Schmitter,Fukuyama, Japan,JA-FU 1843,Laia_Schmitter_1843
1844,Stefan,Linden,Lübeck, Germany,GE-LÜ 1844,Stefan_Linden_1844
1845,Felix,Wiesner,Barcelona, Spain,SP-BA 1845,Felix_Wiesner_1845
1846,Emilian,Hainz,Parral, Mexico,ME-PA 1846,Emilian_Hainz_1846
1847,Theresia,Batz,Valencia, Spain,SP-VA 1847,Theresia_Batz_1847
1848,Marie,Kruska,Atlanta, United States,UN-AT 1848,Marie_Kruska_1848
1849,Fritz,Lindhorst,Mito, Japan,JA-MI 1849,Fritz_Lindhorst_1849
1850,Laura,Kohlmeyer,Chicago, United States,UN-CH 1850,Laura_Kohlmeyer_1850
1851,Carlotta,Gierke,Burnaby, Canada,CA-BU 1851,Carlotta_Gierke_1851
1852,Mathea,Walser,Brisbane, Australia,AU-BR 1852,Mathea_Walser_1852
1853,Josefine,Grätz,New York, United States,UN-NE 1853,Josefine_Grätz_1853
1854,Adem,Gundlach,Phoenix, United States,UN-PH 1854,Adem_Gundlach_1854
1855,Carl,Mandl,Kassel, Germany,GE-KA 1855,Carl_Mandl_1855
1856,Eslem,Naber,Montréal, Canada,CA-MO 1856,Eslem_Naber_1856
1857,Madita,Elser,Tokyo, Japan,JA-TO 1857,Madita_Elser_1857
1858,Nicolas,Gundel,Louisville, United States,UN-LO 1858,Nicolas_Gundel_1858
1859,Erva,Bähre,Thunder Bay, Canada,CA-TH 1859,Erva_Bähre_1859
1860,Azra,Auch,Tokyo, Japan,JA-TO 1860,Azra_Auch_1860
1861,Zahra,Bergen,Chicago, United States,UN-CH 1861,Zahra_Bergen_1861
1862,Kalle,Messmer,Hannover, Germany,GE-HA 1862,Kalle_Messmer_1862
1863,Ruby,Bick,New York, United States,UN-NE 1863,Ruby_Bick_1863
1864,Samir,Winkel,Baltimore, United States,UN-BA 1864,Samir_Winkel_1864
1865,William,Langner,Ciudad Madero, Mexico,ME-CI 1865,William_Langner_1865
1866,Malia,Wagener,Chicoloapan, Mexico,ME-CH 1866,Malia_Wagener_1866
1867,Mae,Welle,Dunedin, New Zealand,NE-DU 1867,Mae_Welle_1867
1868,Luise,Jansen,Christchurch, New Zealand,NE-CH 1868,Luise_Jansen_1868
1869,Leopold,Frieling,Springfield, United States,UN-SP 1869,Leopold_Frieling_1869
1870,Lasse,Belitz,Saltillo, Mexico,ME-SA 1870,Lasse_Belitz_1870
1871,Michelle,Haack,San Diego, United States,UN-SA 1871,Michelle_Haack_1871
1872,Madita,Remy,Nagoya, Japan,JA-NA 1872,Madita_Remy_1872
1873,Mira,Karstens,Houston, United States,UN-HO 1873,Mira_Karstens_1873
1874,Philip,Jaeger,Langley, Canada,CA-LA 1874,Philip_Jaeger_1874
1875,Caspar,Knaus,Manchester, United States,UN-MA 1875,Caspar_Knaus_1875
1876,Alan,Uhlenbrock,Bari, Italy,IT-BA 1876,Alan_Uhlenbrock_1876
1877,Lina,Geßler,McAllen, United States,UN-MC 1877,Lina_Geßler_1877
1878,Florentine,Gareis,Kansas City, United States,UN-KA 1878,Florentine_Gareis_1878
1879,Nisa,Kühner,Oklahoma City, United States,UN-OK 1879,Nisa_Kühner_1879
1880,Marlene,Huff,Toulouse, France,FR-TO 1880,Marlene_Huff_1880
1881,Yahya,Scharfenberg,Fayetteville, United States,UN-FA 1881,Yahya_Scharfenberg_1881
1882,Benjamin,Hanschke,Harrisburg, United States,UN-HA 1882,Benjamin_Hanschke_1882
1883,Eliah,Tilgner,Las Vegas, United States,UN-LA 1883,Eliah_Tilgner_1883
1884,Samir,Heiß,Bridgeport, United States,UN-BR 1884,Samir_Heiß_1884
1885,Alessio,Limbach,Ōsaka, Japan,JA-ŌS 1885,Alessio_Limbach_1885
1886,Malou,Dorst,Cancún, Mexico,ME-CA 1886,Malou_Dorst_1886
1887,Ada,Eser,Appleton, United States,UN-AP 1887,Ada_Eser_1887
1888,Carolin,Hildmann,Bremerton, United States,UN-BR 1888,Carolin_Hildmann_1888
1889,Lynn,Reichenbach,Nagoya, Japan,JA-NA 1889,Lynn_Reichenbach_1889
1890,Vincenzo,Morgenroth,New Orleans, United States,UN-NE 1890,Vincenzo_Morgenroth_1890
1891,Philipp,Basse,Arden-Arcade, United States,UN-AR 1891,Philipp_Basse_1891
1892,Amelie,Heym,Mexico City, Mexico,ME-ME 1892,Amelie_Heym_1892
1893,Isabell,Scherner,Madrid, Spain,SP-MA 1893,Isabell_Scherner_1893
1894,Ferdinand,Schubert,Mexico City, Mexico,ME-ME 1894,Ferdinand_Schubert_1894
1895,Nela,Schnieders,Tallahassee, United States,UN-TA 1895,Nela_Schnieders_1895
1896,Angelo,Eschbach,San Nicolás de los Garza, Mexico,ME-SA 1896,Angelo_Eschbach_1896
1897,Noa,Burchardt,Mexico City, Mexico,ME-ME 1897,Noa_Burchardt_1897
1898,Eliano,Schäuble,Oklahoma City, United States,UN-OK 1898,Eliano_Schäuble_1898
1899,Luise,Wank,Saltillo, Mexico,ME-SA 1899,Luise_Wank_1899
1900,Linus,Hinck,Tajimi, Japan,JA-TA 1900,Linus_Hinck_1900
1901,Joris,Maiwald,Boston, United States,UN-BO 1901,Joris_Maiwald_1901
1902,Lou,Schmutz,Houston, United States,UN-HO 1902,Lou_Schmutz_1902
1903,Daniel,Fricke,Tokyo, Japan,JA-TO 1903,Daniel_Fricke_1903
1904,Peter,Neumair,Brisbane, Australia,AU-BR 1904,Peter_Neumair_1904
1905,Mio,Liesenfeld,Kawanakajima, Japan,JA-KA 1905,Mio_Liesenfeld_1905
1906,Madeleine,Tesche,Yato, Japan,JA-YA 1906,Madeleine_Tesche_1906
1907,Klara,Merker,Pittsburgh, United States,UN-PI 1907,Klara_Merker_1907
1908,Mats,Kollmann,Örebro, Sweden,SW-ÖR 1908,Mats_Kollmann_1908
1909,Martha,Bergmeier,San Jose, United States,UN-SA 1909,Martha_Bergmeier_1909
1910,Rosa,Meinhard,Częstochowa, Poland,PO-CZ 1910,Rosa_Meinhard_1910
1911,Artur,Struve,Lake Charles, United States,UN-LA 1911,Artur_Struve_1911
1912,Christian,Steigerwald,Mexico City, Mexico,ME-ME 1912,Christian_Steigerwald_1912
1913,Liya,Graefe,San Antonio, United States,UN-SA 1913,Liya_Graefe_1913
1914,Adriano,Schley,Norwich, United States,UN-NO 1914,Adriano_Schley_1914
1915,Meliha,Reichard,Madrid, Spain,SP-MA 1915,Meliha_Reichard_1915
1916,Luke,Mecklenburg,Philadelphia, United States,UN-PH 1916,Luke_Mecklenburg_1916
1917,Fabio,Hüls,Rome, Italy,IT-RO 1917,Fabio_Hüls_1917
1918,Ali,Boehm,Monclova, Mexico,ME-MO 1918,Ali_Boehm_1918
1919,Zehra,Tetzner,Olsztyn, Poland,PO-OL 1919,Zehra_Tetzner_1919
1920,Ada,Nöth,Salem, United States,UN-SA 1920,Ada_Nöth_1920
1921,Philip,Nawroth,Los Angeles, United States,UN-LO 1921,Philip_Nawroth_1921
1922,Milan,Suck,Nagahama, Japan,JA-NA 1922,Milan_Suck_1922
1923,Maria,Verfürth,Ciudad López Mateos, Mexico,ME-CI 1923,Maria_Verfürth_1923
1924,Naomi,Lorek,Ōsaka, Japan,JA-ŌS 1924,Naomi_Lorek_1924
1925,Linnea,Schamberger,Queens, United States,UN-QU 1925,Linnea_Schamberger_1925
1926,Noa,Schaar,Honolulu, United States,UN-HO 1926,Noa_Schaar_1926
1927,Amelie,Koll,Gómez Palacio, Mexico,ME-GÓ 1927,Amelie_Koll_1927
1928,Carlo,Zenner,Tokyo, Japan,JA-TO 1928,Carlo_Zenner_1928
1929,Lia,Huwer,Paris, France,FR-PA 1929,Lia_Huwer_1929
1930,Finn,Schedel,Philadelphia, United States,UN-PH 1930,Finn_Schedel_1930
1931,David,Braune,Peoria, United States,UN-PE 1931,David_Braune_1931
1932,Josef,Röber,Olsztyn, Poland,PO-OL 1932,Josef_Röber_1932
1933,Nepomuk,Boss,Rockford, United States,UN-RO 1933,Nepomuk_Boss_1933
1934,Leonie,Debus,Rochester, United States,UN-RO 1934,Leonie_Debus_1934
1935,Josefine,Papadopoulos,Culiacán, Mexico,ME-CU 1935,Josefine_Papadopoulos_1935
1936,Fatima,Künkel,Brisbane, Australia,AU-BR 1936,Fatima_Künkel_1936
1937,Henriette,Leisten,Tokyo, Japan,JA-TO 1937,Henriette_Leisten_1937
1938,Amelie,Hellmund,Ōsaka, Japan,JA-ŌS 1938,Amelie_Hellmund_1938
1939,Ela,Schönfeldt,Cleveland, United States,UN-CL 1939,Ela_Schönfeldt_1939
1940,Irma,Falkner,Amsterdam, Netherlands,NE-AM 1940,Irma_Falkner_1940
1941,Fabio,Gräbner,Phoenix, United States,UN-PH 1941,Fabio_Gräbner_1941
1942,Kadir,Huck,Houston, United States,UN-HO 1942,Kadir_Huck_1942
1943,Isabelle,Lueg,Chicago, United States,UN-CH 1943,Isabelle_Lueg_1943
1944,Kerem,Scheithauer,Minneapolis, United States,UN-MI 1944,Kerem_Scheithauer_1944
1945,Antonio,Kokot,Tokyo, Japan,JA-TO 1945,Antonio_Kokot_1945
1946,Paula,Wessels,Vancouver, Canada,CA-VA 1946,Paula_Wessels_1946
1947,Elissa,Ay,Kitaku, Japan,JA-KI 1947,Elissa_Ay_1947
1948,Alissa,Röger,Riverside, United States,UN-RI 1948,Alissa_Röger_1948
1949,Toni,Neukirchen,Tokyo, Japan,JA-TO 1949,Toni_Neukirchen_1949
1950,Josephine,Hanschke,León, Spain,SP-LE 1950,Josephine_Hanschke_1950
1951,Ibrahim,Wittkamp,Denver, United States,UN-DE 1951,Ibrahim_Wittkamp_1951
1952,Timon,Albers,Chalco, Mexico,ME-CH 1952,Timon_Albers_1952
1953,Leni,Traut,Escuintla, Mexico,ME-ES 1953,Leni_Traut_1953
1954,Karl,Thaller,Puebla, Mexico,ME-PU 1954,Karl_Thaller_1954
1955,Amelia,Haring,Paris, France,FR-PA 1955,Amelia_Haring_1955
1956,Mathea,Danne,Oberhausen, Germany,GE-OB 1956,Mathea_Danne_1956
1957,Dilara,Luck,St. Louis, United States,UN-ST 1957,Dilara_Luck_1957
1958,Adrian,Wengert,Berlin, Germany,GE-BE 1958,Adrian_Wengert_1958
1959,Rudolf,Ecker,Chalco, Mexico,ME-CH 1959,Rudolf_Ecker_1959
1960,Kian,Stöber,Perth, Australia,AU-PE 1960,Kian_Stöber_1960
1961,Leana,Stieber,Las Vegas, United States,UN-LA 1961,Leana_Stieber_1961
1962,Alice,Blecher,Madrid, Spain,SP-MA 1962,Alice_Blecher_1962
1963,Ibrahim,Reif,Florence, Italy,IT-FL 1963,Ibrahim_Reif_1963
1964,Selma,Class,Chula Vista, United States,UN-CH 1964,Selma_Class_1964
1965,Rocco,Bommer,St. Louis, United States,UN-ST 1965,Rocco_Bommer_1965
1966,Melia,Königs,Durango, Mexico,ME-DU 1966,Melia_Königs_1966
1967,Felicitas,Gombert,Playa del Carmen, Mexico,ME-PL 1967,Felicitas_Gombert_1967
1968,Emma,Bräuer,Rochester, United States,UN-RO 1968,Emma_Bräuer_1968
1969,Dominik,Fenzl,Los Mochis, Mexico,ME-LO 1969,Dominik_Fenzl_1969
1970,Josef,Güngör,Tokyo, Japan,JA-TO 1970,Josef_Güngör_1970
1971,Omar,Hohensee,Tokyo, Japan,JA-TO 1971,Omar_Hohensee_1971
1972,Ronja,Ludwig,Porto, Portugal,PO-PO 1972,Ronja_Ludwig_1972
1973,Marlene,Rentzsch,Mexico City, Mexico,ME-ME 1973,Marlene_Rentzsch_1973
1974,Elyas,Partsch,Catania, Italy,IT-CA 1974,Elyas_Partsch_1974
1975,Elin,Liebel,Toluca, Mexico,ME-TO 1975,Elin_Liebel_1975
1976,Marie,Dirkes,Wollongong, Australia,AU-WO 1976,Marie_Dirkes_1976
1977,Jasmin,Schübel,Białystok, Poland,PO-BI 1977,Jasmin_Schübel_1977
1978,Karim,Sammer,Atlantic City, United States,UN-AT 1978,Karim_Sammer_1978
1979,Yusuf,Neuhauser,New York, United States,UN-NE 1979,Yusuf_Neuhauser_1979
1980,Alessia,Masuch,Tokyo, Japan,JA-TO 1980,Alessia_Masuch_1980
1981,Nia,Seebach,Gatineau, Canada,CA-GA 1981,Nia_Seebach_1981
1982,Victor,Kuschel,Melbourne, Australia,AU-ME 1982,Victor_Kuschel_1982
1983,Aurelia,Gottschalk,Centennial, United States,UN-CE 1983,Aurelia_Gottschalk_1983
1984,Su,Sippel,Tokyo, Japan,JA-TO 1984,Su_Sippel_1984
1985,Rosa,Steinborn,Sandachō, Japan,JA-SA 1985,Rosa_Steinborn_1985
1986,Artin,Leins,Mexicali, Mexico,ME-ME 1986,Artin_Leins_1986
1987,Nour,Thalheim,Monterrey, Mexico,ME-MO 1987,Nour_Thalheim_1987
1988,Tom,Theuerkauf,Indianapolis, United States,UN-IN 1988,Tom_Theuerkauf_1988
1989,Artur,Krick,Ichinomiya, Japan,JA-IC 1989,Artur_Krick_1989
1990,Jon,Neuwirth,New York, United States,UN-NE 1990,Jon_Neuwirth_1990
1991,Giuliano,Früh,Vienna, Austria,AU-VI 1991,Giuliano_Früh_1991
1992,Emilia,Groot,El Paso, United States,UN-EL 1992,Emilia_Groot_1992
1993,Elli,Gröner,Chicago, United States,UN-CH 1993,Elli_Gröner_1993
1994,Maria,Birkle,Limoges, France,FR-LI 1994,Maria_Birkle_1994
1995,Niklas,Zunker,Mexico City, Mexico,ME-ME 1995,Niklas_Zunker_1995
1996,Stella,Winterstein,Tokyo, Japan,JA-TO 1996,Stella_Winterstein_1996
1997,Meryem,Schulenburg,Maebashi, Japan,JA-MA 1997,Meryem_Schulenburg_1997
1998,Halil,Habenicht,Valladolid, Spain,SP-VA 1998,Halil_Habenicht_1998
1999,Alicia,Weisheit,McAllen, United States,UN-MC 1999,Alicia_Weisheit_1999
2000,Samuel,Platen,New York, United States,UN-NE 2000,Samuel_Platen_2000
2001,Selim,Habeck,Tokyo, Japan,JA-TO 2001,Selim_Habeck_2001
2002,Severin,Götting,Perth, Australia,AU-PE 2002,Severin_Götting_2002
2003,Noa,Lanz,Dallas, United States,UN-DA 2003,Noa_Lanz_2003
2004,Sara,Theiss,Tokyo, Japan,JA-TO 2004,Sara_Theiss_2004
2005,Ada,Reidenbach,Rzeszów, Poland,PO-RZ 2005,Ada_Reidenbach_2005
2006,Christa,Ege,Guadalajara, Mexico,ME-GU 2006,Christa_Ege_2006
2007,Filip,Beth,Mexico City, Mexico,ME-ME 2007,Filip_Beth_2007
2008,Franziska,Rummler,Portland, United States,UN-PO 2008,Franziska_Rummler_2008
2009,Luisa,Rohrmoser,Hannover, Germany,GE-HA 2009,Luisa_Rohrmoser_2009
2010,Jan,Kaiser,Koszalin, Poland,PO-KO 2010,Jan_Kaiser_2010
2011,Elyas,Salmen,Mexico City, Mexico,ME-ME 2011,Elyas_Salmen_2011
2012,Leonhard,Friebel,New York, United States,UN-NE 2012,Leonhard_Friebel_2012
2013,Jona,Otter,Mexico City, Mexico,ME-ME 2013,Jona_Otter_2013
2014,Abdullah,Greb,Barcelona, Spain,SP-BA 2014,Abdullah_Greb_2014
2015,Heinrich,Hieronymus,New York, United States,UN-NE 2015,Heinrich_Hieronymus_2015
2016,Noa,Rößle,Augusta, United States,UN-AU 2016,Noa_Rößle_2016
2017,Natalie,Grosche,Guadalupe, Mexico,ME-GU 2017,Natalie_Grosche_2017
2018,Jerome,Abraham,Ciudad Apodaca, Mexico,ME-CI 2018,Jerome_Abraham_2018
2019,Sophia,Sautter,Sydney, Australia,AU-SY 2019,Sophia_Sautter_2019
2020,Karlotta,Diem,Nice, France,FR-NI 2020,Karlotta_Diem_2020
2021,Eymen,Tessmer,Atlanta, United States,UN-AT 2021,Eymen_Tessmer_2021
2022,Lorin,Schwörer,Kawaguchi, Japan,JA-KA 2022,Lorin_Schwörer_2022
2023,Rafael,Süss,Kawanakajima, Japan,JA-KA 2023,Rafael_Süss_2023
2024,Mathilda,Ahrendt,Atlanta, United States,UN-AT 2024,Mathilda_Ahrendt_2024
2025,Toni,Scheurich,San Antonio, United States,UN-SA 2025,Toni_Scheurich_2025
2026,Youssef,Plötz,Toronto, Canada,CA-TO 2026,Youssef_Plötz_2026
2027,Rosa,Zech,Miami, United States,UN-MI 2027,Rosa_Zech_2027
2028,Bilal,Jaworski,Winston-Salem, United States,UN-WI 2028,Bilal_Jaworski_2028
2029,Kai,Elsen,Seattle, United States,UN-SE 2029,Kai_Elsen_2029
2030,Batu,Herzberg,Tampa, United States,UN-TA 2030,Batu_Herzberg_2030
2031,Andreas,Anker,Daitōchō, Japan,JA-DA 2031,Andreas_Anker_2031
2032,Leo,Nieland,Tondabayashichō, Japan,JA-TO 2032,Leo_Nieland_2032
2033,Melina,Willert,Mexico City, Mexico,ME-ME 2033,Melina_Willert_2033
2034,Semih,Großkopf,Strasbourg, France,FR-ST 2034,Semih_Großkopf_2034
2035,Sebastian,Daum,New York, United States,UN-NE 2035,Sebastian_Daum_2035
2036,Nelio,Sawitzki,Virginia Beach, United States,UN-VI 2036,Nelio_Sawitzki_2036
2037,Joleen,Zintl,Scottsdale, United States,UN-SC 2037,Joleen_Zintl_2037
2038,Henry,Homm,Washington, United States,UN-WA 2038,Henry_Homm_2038
2039,Alexandra,Ahlborn,Philadelphia, United States,UN-PH 2039,Alexandra_Ahlborn_2039
2040,Otis,Weyer,Saitama, Japan,JA-SA 2040,Otis_Weyer_2040
2041,Lennard,Lüers,Manukau City, New Zealand,NE-MA 2041,Lennard_Lüers_2041
2042,Marla,Jeckel,Ōsaka, Japan,JA-ŌS 2042,Marla_Jeckel_2042
2043,Malik,Klawitter,Sydney, Australia,AU-SY 2043,Malik_Klawitter_2043
2044,Mio,Pöhler,Cologne, Germany,GE-CO 2044,Mio_Pöhler_2044
2045,Amelia,Lammel,Milan, Italy,IT-MI 2045,Amelia_Lammel_2045
2046,Lorin,Ochs,Memphis, United States,UN-ME 2046,Lorin_Ochs_2046
2047,Berat,Buchheit,Arvada, United States,UN-AR 2047,Berat_Buchheit_2047
2048,Michael,Giese,Chicago, United States,UN-CH 2048,Michael_Giese_2048
2049,Liam,Weiss,Gómez Palacio, Mexico,ME-GÓ 2049,Liam_Weiss_2049
2050,Giulia,Schindel,McAllen, United States,UN-MC 2050,Giulia_Schindel_2050
2051,Kuzey,Speicher,Ciudad General Escobedo, Mexico,ME-CI 2051,Kuzey_Speicher_2051
2052,Defne,Winter,Montréal, Canada,CA-MO 2052,Defne_Winter_2052
2053,Antonio,Möser,Mexico City, Mexico,ME-ME 2053,Antonio_Möser_2053
2054,Fatima,Fichter,Zaragoza, Spain,SP-ZA 2054,Fatima_Fichter_2054
2055,Amelia,Zöller,Ottawa, Canada,CA-OT 2055,Amelia_Zöller_2055
2056,Emmi,Wiesler,Ōsaka, Japan,JA-ŌS 2056,Emmi_Wiesler_2056
2057,Theresa,Böge,New York, United States,UN-NE 2057,Theresa_Böge_2057
2058,Angelina,Heinsohn,Ciudad Nezahualcóyotl, Mexico,ME-CI 2058,Angelina_Heinsohn_2058
2059,Helene,Stranz,Ōsaka, Japan,JA-ŌS 2059,Helene_Stranz_2059
2060,Elif,Holzner,Andria, Italy,IT-AN 2060,Elif_Holzner_2060
2061,Eliah,Väth,Visalia, United States,UN-VI 2061,Eliah_Väth_2061
2062,Ole,Brackmann,Allentown, United States,UN-AL 2062,Ole_Brackmann_2062
2063,Henrik,Kunde,Arlington, United States,UN-AR 2063,Henrik_Kunde_2063
2064,Johannes,Kuntz,New York, United States,UN-NE 2064,Johannes_Kuntz_2064
2065,Mathea,Jörgens,El Paso, United States,UN-EL 2065,Mathea_Jörgens_2065
2066,Elian,Buntrock,St. Louis, United States,UN-ST 2066,Elian_Buntrock_2066
2067,Eray,Netzer,Chicago, United States,UN-CH 2067,Eray_Netzer_2067
2068,Salih,Illig,Ōsaka, Japan,JA-ŌS 2068,Salih_Illig_2068
2069,Benno,Röthig,Dallas, United States,UN-DA 2069,Benno_Röthig_2069
2070,Julius,Mittelbach,Mexico City, Mexico,ME-ME 2070,Julius_Mittelbach_2070
2071,Emily,Arends,Philadelphia, United States,UN-PH 2071,Emily_Arends_2071
2072,Ruby,Heese,Colorado Springs, United States,UN-CO 2072,Ruby_Heese_2072
2073,Luis,Renn,Wałbrzych, Poland,PO-WA 2073,Luis_Renn_2073
2074,Yara,Skiba,Mexico City, Mexico,ME-ME 2074,Yara_Skiba_2074
2075,Carl,Bilger,Paris, France,FR-PA 2075,Carl_Bilger_2075
2076,Larissa,Opel,Hempstead, United States,UN-HE 2076,Larissa_Opel_2076
2077,Martin,Wienecke,Ichikawa, Japan,JA-IC 2077,Martin_Wienecke_2077
2078,Luan,Huf,Auckland, New Zealand,NE-AU 2078,Luan_Huf_2078
2079,Hatice,Juraschek,Philadelphia, United States,UN-PH 2079,Hatice_Juraschek_2079
2080,Frieda,Schuhmacher,Paris, France,FR-PA 2080,Frieda_Schuhmacher_2080
2081,Erika,Siebrecht,Paris, France,FR-PA 2081,Erika_Siebrecht_2081
2082,Selma,Ebbing,Yuma, United States,UN-YU 2082,Selma_Ebbing_2082
2083,Defne,Baatz,Tsukuba-kenkyūgakuen-toshi, Japan,JA-TS 2083,Defne_Baatz_2083
2084,Jasmin,Kagerer,Shizuoka, Japan,JA-SH 2084,Jasmin_Kagerer_2084
2085,Emilia,Drees,Tampa, United States,UN-TA 2085,Emilia_Drees_2085
2086,Jamie,Specht,San Diego, United States,UN-SA 2086,Jamie_Specht_2086
2087,Andreas,Brodt,Long Beach, United States,UN-LO 2087,Andreas_Brodt_2087
2088,Helena,Bohlen,Narashino, Japan,JA-NA 2088,Helena_Bohlen_2088
2089,Mara,Kellerer,New York, United States,UN-NE 2089,Mara_Kellerer_2089
2090,Can,Ellenberger,New York, United States,UN-NE 2090,Can_Ellenberger_2090
2091,Bruno,Riemer,Philadelphia, United States,UN-PH 2091,Bruno_Riemer_2091
2092,Elijah,Thies,San Antonio, United States,UN-SA 2092,Elijah_Thies_2092
2093,Eric,Wicklein,Omaha, United States,UN-OM 2093,Eric_Wicklein_2093
2094,Jakob,Unglaub,Mexico City, Mexico,ME-ME 2094,Jakob_Unglaub_2094
2095,Liam,Gerigk,Atlanta, United States,UN-AT 2095,Liam_Gerigk_2095
2096,Caspar,Schäffer,Tecomán, Mexico,ME-TE 2096,Caspar_Schäffer_2096
2097,Bryan,Makowski,Málaga, Spain,SP-MÁ 2097,Bryan_Makowski_2097
2098,Niklas,Groos,Jacksonville, United States,UN-JA 2098,Niklas_Groos_2098
2099,Sophie,Steinmeyer,Rimini, Italy,IT-RI 2099,Sophie_Steinmeyer_2099
2100,Silas,Kluger,Mazatlán, Mexico,ME-MA 2100,Silas_Kluger_2100
2101,Elyas,Schober,Toronto, Canada,CA-TO 2101,Elyas_Schober_2101
2102,Peter,Liermann,Lafayette, United States,UN-LA 2102,Peter_Liermann_2102
2103,Eray,Beetz,Duisburg, Germany,GE-DU 2103,Eray_Beetz_2103
2104,Nela,Radau,Mexico City, Mexico,ME-ME 2104,Nela_Radau_2104
2105,Nour,Feix,Rennes, France,FR-RE 2105,Nour_Feix_2105
2106,Hope,Trimborn,Barcelona, Spain,SP-BA 2106,Hope_Trimborn_2106
2107,Philipp,Resch,Bronx, United States,UN-BR 2107,Philipp_Resch_2107
2108,Mathea,Wehr,Knoxville, United States,UN-KN 2108,Mathea_Wehr_2108
2109,Ian,Junghanns,New York, United States,UN-NE 2109,Ian_Junghanns_2109
2110,Alisa,Ströhlein,Gdynia, Poland,PO-GD 2110,Alisa_Ströhlein_2110
2111,Liam,Ohnesorge,Yonkers, United States,UN-YO 2111,Liam_Ohnesorge_2111
2112,Ian,Christensen,Waitakere, New Zealand,NE-WA 2112,Ian_Christensen_2112
2113,Milla,Hoven,Warsaw, Poland,PO-WA 2113,Milla_Hoven_2113
2114,Elissa,Mund,Bergamo, Italy,IT-BE 2114,Elissa_Mund_2114
2115,Thea,Ellenberger,Tokyo, Japan,JA-TO 2115,Thea_Ellenberger_2115
2116,Isabel,Schielke,Hildesheim, Germany,GE-HI 2116,Isabel_Schielke_2116
2117,Antonio,Görgen,Monterrey, Mexico,ME-MO 2117,Antonio_Görgen_2117
2118,Flora,Schönberger,Reynosa, Mexico,ME-RE 2118,Flora_Schönberger_2118
2119,Marie,Flegel,Perpignan, France,FR-PE 2119,Marie_Flegel_2119
2120,Malina,Kissel,Mexico City, Mexico,ME-ME 2120,Malina_Kissel_2120
2121,Daniel,Kalinowski,Bari, Italy,IT-BA 2121,Daniel_Kalinowski_2121
2122,Rocco,Marciniak,Oxnard, United States,UN-OX 2122,Rocco_Marciniak_2122
2123,Adam,Senge,Morioka, Japan,JA-MO 2123,Adam_Senge_2123
2124,Xenia,Selent,Monterrey, Mexico,ME-MO 2124,Xenia_Selent_2124
2125,Bennet,Eßmann,New York, United States,UN-NE 2125,Bennet_Eßmann_2125
2126,Nia,Hellmund,Mexico City, Mexico,ME-ME 2126,Nia_Hellmund_2126
2127,Carlos,Menzel,Hollywood, United States,UN-HO 2127,Carlos_Menzel_2127
2128,Simon,Gründler,Palm Coast, United States,UN-PA 2128,Simon_Gründler_2128
2129,Johanna,Feddern,Markham, Canada,CA-MA 2129,Johanna_Feddern_2129
2130,Lukas,Krahl,Mississauga, Canada,CA-MI 2130,Lukas_Krahl_2130
2131,Josef,Peltzer,Tlaquepaque, Mexico,ME-TL 2131,Josef_Peltzer_2131
2132,Leo,Schlich,Melbourne, Australia,AU-ME 2132,Leo_Schlich_2132
2133,Stefan,Kayser,Guadalajara, Mexico,ME-GU 2133,Stefan_Kayser_2133
2134,Elian,Hemker,Gothenburg, Sweden,SW-GO 2134,Elian_Hemker_2134
2135,Paul,Hinrichsen,Paris, France,FR-PA 2135,Paul_Hinrichsen_2135
2136,Ariana,Schönfelder,Kōchi, Japan,JA-KŌ 2136,Ariana_Schönfelder_2136
2137,Lilli,Hanke,Ballarat, Australia,AU-BA 2137,Lilli_Hanke_2137
2138,Ahmet,Scheu,Monterrey, Mexico,ME-MO 2138,Ahmet_Scheu_2138
2139,Hazal,Blass,Kent, United States,UN-KE 2139,Hazal_Blass_2139
2140,Alexander,Dierkes,Lerma, Mexico,ME-LE 2140,Alexander_Dierkes_2140
2141,Madita,Wegele,Montréal, Canada,CA-MO 2141,Madita_Wegele_2141
2142,Emilian,Kirchberger,Sacramento, United States,UN-SA 2142,Emilian_Kirchberger_2142
2143,Leana,Erdmann,Perth, Australia,AU-PE 2143,Leana_Erdmann_2143
2144,Lotta,Naber,Nashville, United States,UN-NA 2144,Lotta_Naber_2144
